曲线名称,日期,3月,6月,1年,3年,5年,7年,10年,30年
中债中短期票据收益率曲线(AAA),2020-03-31,1.9677,2.1672,2.4215,2.9028,3.3335,3.5341,3.8765,
中债商业银行普通债收益率曲线(AAA),2020-03-31,1.8578,1.91,2.284,2.7158,3.0321,3.361,3.7081,4.1756
中债国债收益率曲线,2020-03-31,1.4062,1.4282,1.687,2.0086,2.3372,2.5638,2.5899,3.2107
中债中短期票据收益率曲线(AAA),2020-04-01,1.9336,2.1155,2.3839,2.8774,3.3101,3.5172,3.8596,
中债商业银行普通债收益率曲线(AAA),2020-04-01,1.6743,1.8747,2.2191,2.7052,3.0042,3.3441,3.6912,4.1484
中债国债收益率曲线,2020-04-01,1.3001,1.4282,1.6778,1.9821,2.3119,2.5287,2.555,3.1857
中债中短期票据收益率曲线(AAA),2020-04-02,1.8596,2.0275,2.3269,2.859,3.2749,3.5086,3.851,
中债商业银行普通债收益率曲线(AAA),2020-04-02,1.5828,1.8586,2.1398,2.6784,3.005,3.3355,3.6826,4.1503
中债国债收益率曲线,2020-04-02,1.2837,1.3827,1.6548,2.0093,2.3366,2.5552,2.5854,3.2208
中债国债收益率曲线,2020-04-03,1.2386,1.32,1.6548,2.0076,2.3142,2.5546,2.5965,3.2507
中债中短期票据收益率曲线(AAA),2020-04-03,1.8731,2.0269,2.3169,2.8582,3.2996,3.5039,3.8463,
中债商业银行普通债收益率曲线(AAA),2020-04-03,1.6097,1.6818,2.12,2.6708,3.0189,3.3308,3.6779,4.1543
中债中短期票据收益率曲线(AAA),2020-04-07,1.7697,1.7862,2.0969,2.7297,3.2033,3.4135,3.7555,
中债商业银行普通债收益率曲线(AAA),2020-04-07,1.4302,1.4349,1.7044,2.5519,2.8867,3.2404,3.5871,4.0952
中债国债收益率曲线,2020-04-07,1.0998,1.1,1.3448,1.7925,2.1776,2.4736,2.5112,3.1761
中债中短期票据收益率曲线(AAA),2020-04-08,1.6613,1.698,1.9973,2.5819,3.1611,3.3429,3.7294,
中债商业银行普通债收益率曲线(AAA),2020-04-08,1.3715,1.4173,1.6918,2.4522,2.7941,3.1698,3.561,4.0691
中债国债收益率曲线,2020-04-08,1.05,1.06,1.2044,1.6958,2.0454,2.4077,2.4824,3.161
中债国债收益率曲线,2020-04-09,1.0501,1.0806,1.2044,1.7177,2.0776,2.4479,2.5226,3.2313
中债商业银行普通债收益率曲线(AAA),2020-04-09,1.3432,1.4697,1.6818,2.3831,2.7785,3.1392,3.5633,4.0714
中债中短期票据收益率曲线(AAA),2020-04-09,1.6331,1.6683,1.9361,2.5324,3.1098,3.3123,3.7317,
中债国债收益率曲线,2020-04-10,1.1026,1.1101,1.24,1.7615,2.115,2.4673,2.5403,3.271
中债中短期票据收益率曲线(AAA),2020-04-10,1.6589,1.6871,1.9492,2.5435,3.1148,3.3187,3.7474,
中债商业银行普通债收益率曲线(AAA),2020-04-10,1.4796,1.4953,1.7276,2.3537,2.7985,3.1456,3.579,4.0665
中债国债收益率曲线,2020-04-13,1.1112,1.1164,1.2643,1.7569,2.0717,2.4863,2.5658,3.2762
中债中短期票据收益率曲线(AAA),2020-04-13,1.6711,1.7001,1.9387,2.5439,3.1148,3.3187,3.7474,
中债商业银行普通债收益率曲线(AAA),2020-04-13,1.4611,1.5059,1.7126,2.358,2.8195,3.1456,3.579,4.0665
中债中短期票据收益率曲线(AAA),2020-04-14,1.6313,1.7261,1.9758,2.5243,3.0896,3.3487,3.7774,
中债商业银行普通债收益率曲线(AAA),2020-04-14,1.4629,1.5009,1.6919,2.3577,2.8222,3.1218,3.5552,4.0427
中债国债收益率曲线,2020-04-14,1.0905,1.1328,1.2331,1.7035,2.0423,2.4735,2.5591,3.2835
中债中短期票据收益率曲线(AAA),2020-04-15,1.6173,1.6992,1.9838,2.5062,3.0851,3.3389,3.7624,
中债商业银行普通债收益率曲线(AAA),2020-04-15,1.3611,1.477,1.6719,2.3252,2.7911,3.112,3.5402,4.0277
中债国债收益率曲线,2020-04-15,1.0501,1.1271,1.225,1.6604,2.028,2.4535,2.5455,3.2911
中债国债收益率曲线,2020-04-16,1.005,1.0907,1.2088,1.6392,2.0236,2.4379,2.5276,3.2765
中债商业银行普通债收益率曲线(AAA),2020-04-16,1.398,1.457,1.6568,2.2675,2.7486,3.1084,3.5366,4.0241
中债中短期票据收益率曲线(AAA),2020-04-16,1.5593,1.6908,1.9107,2.472,3.0405,3.3789,3.8024,
中债中短期票据收益率曲线(AAA),2020-04-17,1.4943,1.61,1.8414,2.4575,3.0336,3.3794,3.8125,
中债商业银行普通债收益率曲线(AAA),2020-04-17,1.3676,1.449,1.6566,2.2624,2.7409,3.1089,3.5467,4.0324
中债国债收益率曲线,2020-04-17,0.9319,1.0987,1.2257,1.6271,2.0293,2.4595,2.559,3.306
中债中短期票据收益率曲线(AAA),2020-04-20,1.4837,1.6101,1.8433,2.4396,3.0339,3.4131,3.8462,
中债商业银行普通债收益率曲线(AAA),2020-04-20,1.2993,1.4202,1.6484,2.2336,2.7412,3.1436,3.5814,4.0671
中债国债收益率曲线,2020-04-20,0.9075,1.0675,1.2025,1.605,2.0262,2.4912,2.592,3.3753
中债国债收益率曲线,2020-04-21,0.8562,1.0318,1.1826,1.5561,1.9871,2.4775,2.5791,3.361
中债商业银行普通债收益率曲线(AAA),2020-04-21,1.303,1.39,1.6524,2.2263,2.7449,3.1473,3.5851,4.0638
中债中短期票据收益率曲线(AAA),2020-04-21,1.4993,1.6088,1.8381,2.4169,3.0265,3.4057,3.8388,
中债国债收益率曲线,2020-04-22,0.8944,1.0272,1.1352,1.521,1.8665,2.4475,2.5567,3.3412
中债中短期票据收益率曲线(AAA),2020-04-22,1.5149,1.6139,1.8565,2.395,2.9911,3.4257,3.8588,
中债商业银行普通债收益率曲线(AAA),2020-04-22,1.2795,1.3401,1.6575,2.186,2.6968,3.1424,3.5803,4.0701
中债中短期票据收益率曲线(AAA),2020-04-23,1.5107,1.6103,1.8165,2.3521,2.9163,3.4393,3.8662,
中债商业银行普通债收益率曲线(AAA),2020-04-23,1.2977,1.3244,1.6395,2.1566,2.6257,3.1502,3.588,4.0778
中债国债收益率曲线,2020-04-23,0.856,1.0129,1.1228,1.4707,1.8372,2.3564,2.5227,3.2916
中债中短期票据收益率曲线(AAA),2020-04-24,1.4984,1.6034,1.7894,2.3263,2.8834,3.4234,3.8671,
中债商业银行普通债收益率曲线(AAA),2020-04-24,1.3485,1.3519,1.6132,2.126,2.5871,3.1165,3.5543,4.0916
中债国债收益率曲线,2020-04-24,0.8581,1.0165,1.1279,1.4082,1.8385,2.3273,2.51,3.2817
中债商业银行普通债收益率曲线(AAA),2020-04-26,1.3394,1.3538,1.6038,2.1266,2.5873,3.1167,3.5545,4.0918
中债国债收益率曲线,2020-04-26,0.8591,1.0192,1.1324,1.4076,1.8424,2.3376,2.5205,3.2842
中债中短期票据收益率曲线(AAA),2020-04-26,1.5279,1.6053,1.7949,2.3269,2.8836,3.4236,3.8673,
中债中短期票据收益率曲线(AAA),2020-04-27,1.5584,1.6679,1.7944,2.3505,2.899,3.439,3.8827,
中债商业银行普通债收益率曲线(AAA),2020-04-27,1.3618,1.3732,1.6011,2.131,2.5981,3.1275,3.5653,4.1026
中债国债收益率曲线,2020-04-27,0.8408,1.0088,1.13,1.4182,1.8633,2.3769,2.5345,3.3043
中债国债收益率曲线,2020-04-28,0.8408,0.9938,1.1338,1.4095,1.8463,2.3646,2.5254,3.3019
中债中短期票据收益率曲线(AAA),2020-04-28,1.5618,1.6323,1.7908,2.3281,2.9022,3.4493,3.9,
中债商业银行普通债收益率曲线(AAA),2020-04-28,1.4003,1.3875,1.6066,2.1275,2.5734,3.1378,3.5826,4.1199
中债国债收益率曲线,2020-04-29,0.8352,0.9692,1.1177,1.4279,1.7903,2.3253,2.5009,3.287
中债商业银行普通债收益率曲线(AAA),2020-04-29,1.3955,1.4226,1.5978,2.1292,2.5697,3.1399,3.5732,4.1105
中债中短期票据收益率曲线(AAA),2020-04-29,1.5422,1.6285,1.8051,2.351,2.8938,3.4514,3.8906,
中债国债收益率曲线,2020-04-30,0.8923,0.9978,1.1465,1.4395,1.7886,2.3639,2.538,3.3242
中债中短期票据收益率曲线(AAA),2020-04-30,1.5608,1.6129,1.7648,2.3396,2.9032,3.4699,3.9195,
中债商业银行普通债收益率曲线(AAA),2020-04-30,1.4817,1.4513,1.6065,2.1227,2.5763,3.1584,3.6021,4.0942
中债国债收益率曲线,2020-05-06,0.9068,1.0121,1.1616,1.5006,1.8361,2.4291,2.5809,3.3669
中债中短期票据收益率曲线(AAA),2020-05-06,1.5693,1.6063,1.7771,2.3708,2.9197,3.4864,3.9197,
中债商业银行普通债收益率曲线(AAA),2020-05-06,1.3793,1.431,1.6148,2.0943,2.5927,3.1749,3.6024,4.0976
中债国债收益率曲线,2020-05-07,0.8785,1.0774,1.1919,1.5304,1.926,2.5003,2.6298,3.4063
中债中短期票据收益率曲线(AAA),2020-05-07,1.5791,1.6364,1.8071,2.4463,2.9691,3.4801,3.9134,
中债商业银行普通债收益率曲线(AAA),2020-05-07,1.3901,1.4501,1.621,2.1612,2.643,3.1686,3.5961,4.1257
中债中短期票据收益率曲线(AAA),2020-05-08,1.6043,1.6378,1.844,2.4922,3.0324,3.5035,3.937,
中债商业银行普通债收益率曲线(AAA),2020-05-08,1.3813,1.4501,1.6563,2.1914,2.663,3.192,3.6197,4.1491
中债国债收益率曲线,2020-05-08,0.9085,1.05,1.2134,1.5519,1.9362,2.4888,2.6207,3.4063
中债中短期票据收益率曲线(AAA),2020-05-09,1.6107,1.6771,1.8522,2.5004,3.0366,3.4993,3.9328,
中债商业银行普通债收益率曲线(AAA),2020-05-09,1.3813,1.4455,1.661,2.2414,2.6495,3.1879,3.6155,4.145
中债国债收益率曲线,2020-05-09,0.9297,1.0618,1.2097,1.5641,1.9468,2.5004,2.64,3.4213
中债国债收益率曲线,2020-05-11,0.9601,1.0829,1.2194,1.6117,2.0187,2.5481,2.6698,3.4564
中债商业银行普通债收益率曲线(AAA),2020-05-11,1.3475,1.4467,1.662,2.2849,2.7123,3.2566,3.6619,4.1914
中债中短期票据收益率曲线(AAA),2020-05-11,1.6189,1.6964,1.8817,2.5396,3.1118,3.568,3.9792,
中债中短期票据收益率曲线(AAA),2020-05-12,1.6218,1.7144,1.8867,2.5726,3.1627,3.609,4.0131,
中债商业银行普通债收益率曲线(AAA),2020-05-12,1.3753,1.5002,1.692,2.3625,2.7814,3.2976,3.6958,4.1804
中债国债收益率曲线,2020-05-12,0.9309,1.0707,1.2225,1.6023,2.0247,2.5381,2.6603,3.4514
中债中短期票据收益率曲线(AAA),2020-05-13,1.6308,1.7175,1.8769,2.5702,3.1443,3.6043,4.0031,
中债商业银行普通债收益率曲线(AAA),2020-05-13,1.4314,1.5578,1.7125,2.3629,2.7619,3.2929,3.6911,4.1757
中债国债收益率曲线,2020-05-13,1.0002,1.1281,1.2381,1.6004,2.051,2.5627,2.7076,3.4802
中债国债收益率曲线,2020-05-14,1.0005,1.1552,1.2334,1.5961,2.0131,2.5575,2.6989,3.489
中债商业银行普通债收益率曲线(AAA),2020-05-14,1.5099,1.5578,1.7008,2.3644,2.7823,3.2817,3.6921,4.1763
中债中短期票据收益率曲线(AAA),2020-05-14,1.6159,1.7201,1.8856,2.5642,3.1495,3.5931,4.0041,
中债国债收益率曲线,2020-05-15,1.0076,1.157,1.2186,1.58,1.9702,2.5281,2.682,3.4963
中债中短期票据收益率曲线(AAA),2020-05-15,1.5831,1.7141,1.871,2.5621,3.1426,3.5861,4.0093,
中债商业银行普通债收益率曲线(AAA),2020-05-15,1.4922,1.5706,1.699,2.3586,2.783,3.2747,3.6973,4.1816
中债中短期票据收益率曲线(AAA),2020-05-18,1.5717,1.7051,1.8699,2.5775,3.1706,3.6141,4.019,
中债商业银行普通债收益率曲线(AAA),2020-05-18,1.4886,1.5964,1.6862,2.3468,2.7923,3.3053,3.707,4.1913
中债国债收益率曲线,2020-05-18,1.0414,1.1701,1.2561,1.6105,2.0592,2.5946,2.7253,3.5434
中债中短期票据收益率曲线(AAA),2020-05-19,1.5762,1.6919,1.8903,2.5873,3.1857,3.63,4.0142,
中债商业银行普通债收益率曲线(AAA),2020-05-19,1.4886,1.632,1.7429,2.3629,2.8026,3.3212,3.7022,4.1865
中债国债收益率曲线,2020-05-19,1.0307,1.2016,1.2787,1.6296,2.1163,2.6157,2.7272,3.5362
中债商业银行普通债收益率曲线(AAA),2020-05-20,1.4935,1.6077,1.7617,2.377,2.8117,3.3316,3.6992,4.1835
中债国债收益率曲线,2020-05-20,1.1012,1.2378,1.3128,1.629,2.1278,2.6106,2.69,3.5118
中债中短期票据收益率曲线(AAA),2020-05-20,1.5738,1.699,1.9069,2.6073,3.196,3.6404,4.0112,
中债中短期票据收益率曲线(AAA),2020-05-21,1.5863,1.7064,1.9084,2.6199,3.1925,3.6549,4.0108,
