date,m2_yoy,gdp_yoy,m2_gdp_spread,ma6,q10,q90,signal
2022-09-30,12.1,13.0,-0.9000000000000004,-1.4500000000000002,1.1999999999999993,12.68,紧缩
2022-09-30,12.1,13.0,-0.9000000000000004,-1.4500000000000002,1.1999999999999993,12.68,紧缩
2022-10-31,11.8,13.0,-1.1999999999999993,-1.2333333333333334,1.1596199999999994,12.660000000000002,紧缩
2022-10-31,11.8,13.0,-1.1999999999999993,-1.2333333333333334,1.1596199999999994,12.660000000000002,紧缩
2022-11-30,12.4,13.0,-0.5999999999999996,-1.0166666666666666,1.0523200000000004,12.640000000000002,紧缩
2022-11-30,12.4,13.0,-0.5999999999999996,-1.0166666666666666,1.0523200000000004,12.640000000000002,紧缩
2022-12-31,11.8,3.1,8.700000000000001,0.7000000000000002,1.0588600000000004,12.62,正常
2022-12-31,11.8,3.1,8.700000000000001,0.7000000000000002,1.0588600000000004,12.62,正常
2023-01-31,12.6,3.1,9.5,2.45,1.0654000000000003,12.6,正常
2023-01-31,12.6,3.1,9.5,2.45,1.0654000000000003,12.6,正常
2023-02-28,12.9,3.1,9.8,4.216666666666668,1.0788600000000004,12.550000000000002,正常
2023-02-28,12.9,3.1,9.8,4.216666666666668,1.0788600000000004,12.550000000000002,正常
2023-03-31,12.7,3.1,9.6,5.966666666666666,1.09232,12.500000000000004,正常
2023-03-31,12.7,3.1,9.6,5.966666666666666,1.09232,12.500000000000005,正常
2023-04-30,12.4,3.1,9.3,7.716666666666668,1.1057800000000002,12.450000000000008,正常
2023-04-30,12.4,3.1,9.3,7.716666666666668,1.1057800000000002,12.450000000000008,正常
2023-05-31,11.6,3.1,8.5,9.233333333333334,1.1192400000000002,12.399999999999997,正常
2023-05-31,11.6,3.1,8.5,9.233333333333334,1.1192400000000002,12.399999999999997,正常
2023-06-30,11.3,3.1,8.200000000000001,9.15,1.1326999999999998,12.35,正常
2023-06-30,11.3,3.1,8.200000000000001,9.15,1.1326999999999998,12.35,正常
2023-07-31,10.7,3.1,7.6,8.833333333333334,1.1461599999999998,12.300000000000002,正常
2023-07-31,10.7,3.1,7.6,8.833333333333334,1.1461599999999998,12.300000000000002,正常
2023-08-31,10.6,3.1,7.5,8.450000000000001,1.1596199999999994,12.250000000000005,正常
2023-08-31,10.6,3.1,7.5,8.450000000000001,1.1596199999999994,12.250000000000004,正常
2023-09-30,10.3,3.1,7.200000000000001,8.05,1.1730799999999997,12.200000000000008,正常
2023-09-30,10.3,3.1,7.200000000000001,8.05,1.1730799999999997,12.200000000000008,正常
2023-10-31,10.3,3.1,7.200000000000001,7.7,1.1865399999999997,12.149999999999997,正常
2023-10-31,10.3,3.1,7.200000000000001,7.7,1.1865399999999997,12.149999999999997,正常
2023-11-30,10.0,3.1,6.9,7.433333333333334,1.1999999999999993,12.1,正常
2023-11-30,10.0,3.1,6.9,7.433333333333334,1.1999999999999993,12.1,正常
2023-12-31,9.7,5.4,4.299999999999999,6.783333333333334,1.1999999999999993,12.010000000000005,正常
2023-12-31,9.7,5.4,4.299999999999999,6.783333333333334,1.1999999999999993,12.010000000000003,正常
