date,social_financing,sf_12m_sum,credit_impulse,ma6,signal
2015-11-30,8872.90243,111342.820024,16.38825069147547,16.890835288580288,信贷扩张
2015-11-30,8872.90243,111342.820024,16.38825069147547,16.890835288580288,信贷扩张
2015-12-31,8323.083231,112692.903255,15.21260287998527,17.544290378362103,信贷扩张
2015-12-31,8323.083231,112692.903255,15.21260287998527,17.544290378362103,信贷扩张
2016-01-31,25370.07022,123355.089495,24.18603817100553,18.693881321878575,信贷扩张
2016-01-31,25370.07022,123355.08949500001,24.18603817100553,18.693881321878578,信贷扩张
2016-02-29,8105.442309,120023.550264,15.05339818616742,18.16750043827485,信贷扩张
2016-02-29,8105.442309,120023.55026399999,15.05339818616742,18.16750043827485,信贷扩张
2016-03-31,13175.5618,123279.250068,18.831703214075347,18.088789598215865,信贷扩张
2016-03-31,13175.5618,123279.25006800001,18.831703214075347,18.088789598215865,信贷扩张
2016-04-30,5642.052719,120876.2424,16.17935739351195,17.64189175603683,信贷扩张
2016-04-30,5642.052719,120876.2424,16.17935739351195,17.64189175603683,信贷扩张
2016-05-31,9374.267688,121740.328274,17.2327639998054,17.78264397409182,信贷扩张
2016-05-31,9374.267688,121740.328274,17.2327639998054,17.78264397409182,信贷扩张
2016-06-30,13141.10751,121641.876984,14.441742141797231,17.654167184393813,信贷扩张
2016-06-30,13141.10751,121641.876984,14.441742141797231,17.654167184393813,信贷扩张
2016-07-31,4550.223157,120301.631206,11.051079142971943,15.465007346388218,信贷扩张
2016-07-31,4550.223157,120301.631206,11.051079142971943,15.465007346388218,信贷扩张
2016-08-31,7969.196206,120514.907795,10.502378884961484,14.70650412952056,信贷扩张
2016-08-31,7969.196206,120514.907795,10.502378884961484,14.706504129520559,信贷扩张
2016-09-30,12628.06365,122725.726585,10.657265971900332,13.344097922491391,信贷扩张
2016-09-30,12628.06365,122725.726585,10.657265971900332,13.344097922491391,信贷扩张
2016-10-31,6010.330601,123162.301521,10.960109695566555,12.474223306167156,信贷扩张
2016-10-31,6010.330601,123162.301521,10.960109695566556,12.474223306167156,信贷扩张
2016-11-30,8463.262045,122752.661136,10.247487093950557,11.310010488524684,信贷扩张
2016-11-30,8463.262045,122752.661136,10.247487093950555,11.310010488524684,信贷扩张
2016-12-31,9942.78798,124372.365885,10.36397350024063,10.630382381598583,信贷扩张
2016-12-31,9942.78798,124372.365885,10.36397350024063,10.630382381598585,信贷扩张
2017-01-31,23132.85478,122135.15044499999,-0.9889653154922851,8.62370830518788,信贷收缩
2017-01-31,23132.85478,122135.150445,-0.9889653154922852,8.62370830518788,信贷收缩
2017-02-28,10317.31825,124347.02638600001,3.602189830654279,7.473676796136679,信贷扩张
2017-02-28,10317.31825,124347.026386,3.602189830654279,7.473676796136679,信贷扩张
2017-03-31,11586.05628,122757.52086599999,-0.4232092600435444,5.6269309241460315,信贷收缩
2017-03-31,11586.05628,122757.520866,-0.4232092600435444,5.626930924146032,信贷收缩
2017-04-30,10805.68806,127921.15620699999,5.828203844794566,4.7716132823507005,信贷扩张
2017-04-30,10805.68806,127921.156207,5.828203844794566,4.7716132823507005,信贷扩张
2017-05-31,11780.35896,130327.247479,7.053471373654818,4.239277328968077,信贷扩张
