date,shibor_1w,ma60,historical_q10,signal_score
2007-11-26,2.7718,3.6055200000000003,,0
2007-11-27,2.7198,3.606045,,0
2007-11-27,2.7198,3.606045,,0
2007-11-28,2.114,3.599676666666667,,0
2007-11-28,2.114,3.599676666666667,,0
2007-11-29,2.929,3.6068883333333335,,0
2007-11-29,2.929,3.6068883333333335,,0
2007-11-30,3.0539,3.62054,,0
2007-11-30,3.0539,3.62054,,0
2007-12-03,4.1335,3.64996,,0
2007-12-03,4.1335,3.64996,,0
2007-12-04,4.2877,3.68078,,0
2007-12-04,4.2877,3.68078,,0
2007-12-05,4.1806,3.70368,,0
2007-12-05,4.1806,3.70368,,0
2007-12-06,4.0401,3.710848333333333,,0
2007-12-06,4.0401,3.7108483333333333,,0
2007-12-07,2.6161,3.690263333333333,,0
2007-12-07,2.6161,3.6902633333333332,,0
2007-12-10,2.4939,3.6669783333333337,,0
2007-12-10,2.4939,3.6669783333333337,,0
2007-12-11,4.1013,3.66832,,0
2007-12-11,4.1013,3.66832,,0
2007-12-12,4.3563,3.6450766666666663,,0
2007-12-12,4.3563,3.6450766666666667,,0
2007-12-13,4.8123,3.6261766666666655,,0
2007-12-13,4.8123,3.6261766666666655,,0
2007-12-14,3.4585,3.5845933333333333,,0
2007-12-14,3.4585,3.5845933333333333,,0
2007-12-17,3.2059,3.530088333333333,,0
2007-12-17,3.2059,3.530088333333333,,0
2007-12-18,2.9164,3.46554,,0
2007-12-18,2.9164,3.46554,,0
2007-12-19,2.4268,3.389973333333333,,0
2007-12-19,2.4268,3.389973333333333,,0
2007-12-20,2.3875,3.3138300000000003,,0
2007-12-20,2.3875,3.3138300000000003,,0
2007-12-21,2.1818,3.233033333333333,,0
2007-12-21,2.1818,3.233033333333333,,0
2007-12-24,2.0822,3.186593333333333,,0
2007-12-24,2.0822,3.186593333333333,,0
2007-12-25,2.0216,3.1651933333333333,,0
2007-12-25,2.0216,3.1651933333333333,,0
2007-12-26,2.3803,3.170898333333333,,0
2007-12-26,2.3803,3.170898333333333,,0
2007-12-27,2.3181,3.1769916666666664,2.1074581666666665,0
2007-12-27,2.3181,3.1769916666666664,2.1074581666666665,0
2007-12-28,2.4898,3.1853583333333333,2.107693333333333,0
2007-12-28,2.4898,3.1853583333333333,2.107693333333333,0
2007-12-29,2.6005,3.1948683333333334,2.108649333333333,0
2007-12-29,2.6005,3.1948683333333334,2.108649333333333,0
2008-01-02,2.8624,3.208545,2.109605333333333,0
2008-01-02,2.8624,3.208545,2.109605333333333,0
2008-01-03,2.937,3.222935,2.110561333333333,0
2008-01-03,2.937,3.222935,2.110561333333333,0
2008-01-04,2.8432,3.235316666666667,2.111517333333333,0
2008-01-04,2.8432,3.235316666666667,2.111517333333333,0
2008-01-07,2.7214,3.243478333333333,2.112473333333333,0
2008-01-07,2.7214,3.243478333333333,2.112473333333333,0
2008-01-08,2.3719,3.244605,2.1134293333333334,0
2008-01-08,2.3719,3.244605,2.1134293333333334,0
2008-01-09,2.3985,3.246061666666667,2.1143853333333333,0
2008-01-09,2.3985,3.246061666666667,2.1143853333333333,0
2008-01-10,2.4238,3.247088333333333,2.1153413333333333,0
2008-01-10,2.4238,3.247088333333333,2.1153413333333333,0
2008-01-11,2.0358,3.24141,2.1162973333333333,0
2008-01-11,2.0358,3.24141,2.1162973333333333,0
2008-01-14,2.007,3.2333583333333333,2.117253333333333,0
2008-01-14,2.007,3.2333583333333333,2.117253333333333,0
