date,electricity_consumption_yoy_pct,available_date,ma6,ma12,signal_score,signal_text,effective_date
2020-11-30,2.5,2020-12-25,0.6833333333333332,-0.725,1.0,代理看多：用电量趋势上行,2020-12-28
2020-12-31,3.1,2021-01-25,1.4166666666666667,-0.8416666666666667,1.0,代理看多：用电量趋势上行,2021-01-26
2021-02-28,22.2,2021-03-25,5.233333333333333,0.6333333333333333,1.0,代理看多：用电量趋势上行,2021-03-26
2021-03-31,21.2,2021-04-25,8.683333333333332,3.0499999999999994,1.0,代理看多：用电量趋势上行,2021-04-26
2021-04-30,19.1,2021-05-25,11.65,5.183333333333334,1.0,代理看多：用电量趋势上行,2021-05-26
2021-05-31,17.7,2021-06-25,14.300000000000002,7.05,1.0,代理看多：用电量趋势上行,2021-06-28
2021-06-30,16.2,2021-07-25,16.583333333333332,8.633333333333333,1.0,代理看多：用电量趋势上行,2021-07-26
2021-07-31,15.6,2021-08-25,18.666666666666668,10.041666666666666,1.0,代理看多：用电量趋势上行,2021-08-26
2021-08-31,13.8,2021-09-25,17.26666666666667,11.25,1.0,代理看多：用电量趋势上行,2021-09-27
2021-09-30,12.9,2021-10-25,15.883333333333335,12.283333333333333,1.0,代理看多：用电量趋势上行,2021-10-26
2021-10-31,12.2,2021-11-25,14.733333333333333,13.191666666666665,1.0,代理看多：用电量趋势上行,2021-11-26
2021-11-30,11.4,2021-12-25,13.683333333333332,13.991666666666667,-1.0,代理看空：用电量趋势下行,2021-12-27
2021-12-31,10.3,2022-01-25,12.700000000000001,14.641666666666667,-1.0,代理看空：用电量趋势下行,2022-01-26
2022-02-28,5.8,2022-03-25,11.066666666666668,14.866666666666667,-1.0,代理看空：用电量趋势下行,2022-03-28
2022-03-31,5.0,2022-04-25,9.6,13.433333333333332,-1.0,代理看空：用电量趋势下行,2022-04-26
2022-04-30,3.4,2022-05-25,8.016666666666667,11.950000000000001,-1.0,代理看空：用电量趋势下行,2022-05-26
2022-05-31,2.5,2022-06-25,6.400000000000001,10.566666666666666,-1.0,代理看空：用电量趋势下行,2022-06-27
2022-06-30,2.9,2022-07-25,4.983333333333333,9.333333333333334,-1.0,代理看空：用电量趋势下行,2022-07-26
2022-07-31,3.4,2022-08-25,3.8333333333333335,8.266666666666667,-1.0,代理看空：用电量趋势下行,2022-08-26
2022-08-31,4.4,2022-09-25,3.6,7.333333333333333,-1.0,代理看空：用电量趋势下行,2022-09-26
2022-09-30,4.0,2022-10-25,3.4333333333333336,6.516666666666667,-1.0,代理看空：用电量趋势下行,2022-10-26
2022-10-31,3.8,2022-11-25,3.5,5.758333333333334,-1.0,代理看空：用电量趋势下行,2022-11-28
2022-11-30,3.5,2022-12-25,3.6666666666666665,5.033333333333334,-1.0,代理看空：用电量趋势下行,2022-12-26
2022-12-31,3.6,2023-01-25,3.783333333333333,4.383333333333334,-1.0,代理看空：用电量趋势下行,2023-01-30
2023-02-28,2.3,2023-03-25,3.6,3.716666666666667,-1.0,代理看空：用电量趋势下行,2023-03-27
2023-03-31,3.6,2023-04-25,3.466666666666667,3.533333333333333,-1.0,代理看空：用电量趋势下行,2023-04-26
2023-04-30,4.7,2023-05-25,3.5833333333333335,3.508333333333333,1.0,代理看多：用电量趋势上行,2023-05-26
2023-05-31,5.2,2023-06-25,3.8166666666666664,3.658333333333333,1.0,代理看多：用电量趋势上行,2023-06-26
2023-06-30,5.0,2023-07-25,4.066666666666666,3.8666666666666667,1.0,代理看多：用电量趋势上行,2023-07-26
2023-07-31,5.2,2023-08-25,4.333333333333333,4.058333333333334,1.0,代理看多：用电量趋势上行,2023-08-28
2023-08-31,5.0,2023-09-25,4.783333333333334,4.191666666666667,1.0,代理看多：用电量趋势上行,2023-09-26
2023-09-30,5.6,2023-10-25,5.116666666666666,4.291666666666667,1.0,代理看多：用电量趋势上行,2023-10-26
2023-10-31,5.8,2023-11-25,5.3,4.441666666666667,1.0,代理看多：用电量趋势上行,2023-11-27
2023-11-30,6.3,2023-12-25,5.483333333333333,4.6499999999999995,1.0,代理看多：用电量趋势上行,2023-12-26
2023-12-31,6.7,2024-01-25,5.766666666666667,4.916666666666667,1.0,代理看多：用电量趋势上行,2024-01-26
2024-02-29,11.0,2024-03-25,6.733333333333333,5.533333333333334,1.0,代理看多：用电量趋势上行,2024-03-26
2024-03-31,9.8,2024-04-25,7.533333333333334,6.158333333333334,1.0,代理看多：用电量趋势上行,2024-04-26
2024-04-30,9.0,2024-05-25,8.100000000000001,6.608333333333334,1.0,代理看多：用电量趋势上行,2024-05-27
2024-05-31,8.6,2024-06-25,8.566666666666666,6.933333333333334,1.0,代理看多：用电量趋势上行,2024-06-26
2024-06-30,8.1,2024-07-25,8.866666666666667,7.175,1.0,代理看多：用电量趋势上行,2024-07-26
2024-07-31,7.7,2024-08-25,9.033333333333333,7.3999999999999995,1.0,代理看多：用电量趋势上行,2024-08-26
2024-08-31,7.9,2024-09-25,8.516666666666667,7.625,1.0,代理看多：用电量趋势上行,2024-09-26
2024-09-30,7.9,2024-10-25,8.2,7.866666666666667,1.0,代理看多：用电量趋势上行,2024-10-28
2024-10-31,7.6,2024-11-25,7.966666666666668,8.033333333333333,-1.0,代理看空：用电量趋势下行,2024-11-26
2024-11-30,7.1,2024-12-25,7.716666666666668,8.141666666666667,-1.0,代理看空：用电量趋势下行,2024-12-26
2024-12-31,6.8,2025-01-25,7.5,8.183333333333332,-1.0,代理看空：用电量趋势下行,2025-01-27
2025-02-28,1.3,2025-03-25,6.433333333333333,7.733333333333334,-1.0,代理看空：用电量趋势下行,2025-03-26
2025-03-31,2.5,2025-04-25,5.533333333333332,7.025000000000001,-1.0,代理看空：用电量趋势下行,2025-04-28
2025-04-30,3.1,2025-05-25,4.733333333333333,6.466666666666666,-1.0,代理看空：用电量趋势下行,2025-05-26
2025-05-31,3.4,2025-06-25,4.033333333333333,6.0,-1.0,代理看空：用电量趋势下行,2025-06-26
2025-06-30,3.7,2025-07-25,3.466666666666667,5.591666666666666,-1.0,代理看空：用电量趋势下行,2025-07-28
2025-07-31,4.5,2025-08-25,3.0833333333333335,5.291666666666667,-1.0,代理看空：用电量趋势下行,2025-08-26
2025-08-31,4.6,2025-09-25,3.633333333333333,5.033333333333333,-1.0,代理看空：用电量趋势下行,2025-09-26
2025-09-30,4.6,2025-10-25,3.983333333333333,4.758333333333333,-1.0,代理看空：用电量趋势下行,2025-10-27
2025-10-31,5.1,2025-11-25,4.316666666666666,4.5249999999999995,-1.0,代理看空：用电量趋势下行,2025-11-26
2025-11-30,5.2,2025-12-25,4.616666666666666,4.325,1.0,代理看多：用电量趋势上行,2025-12-26
2025-12-31,5.0,2026-01-25,4.833333333333333,4.1499999999999995,1.0,代理看多：用电量趋势上行,2026-01-26
2026-02-28,6.1,2026-03-25,5.1,4.091666666666667,1.0,代理看多：用电量趋势上行,2026-03-26
2026-03-31,5.2,2026-04-25,5.2,4.416666666666667,1.0,代理看多：用电量趋势上行,2026-04-27
2026-04-30,5.4,2026-05-25,5.333333333333333,4.658333333333334,1.0,代理看多：用电量趋势上行,2026-05-26
2026-05-31,5.7,2026-06-25,5.433333333333334,4.875,1.0,代理看多：用电量趋势上行,2026-06-26
2026-06-30,5.3,2026-07-25,5.45,5.033333333333334,1.0,代理看多：用电量趋势上行,2026-07-27
