date,social_financing_100m,available_date,sf_for_stl,social_financing_sa_100m,seasonal_component,sa_mom_pct,signal_score,signal_text,effective_date
2024-06-30,21927.0,2024-07-20,21927.0,15191.148100650507,6735.851899349493,-4.369536377254512,0,未触发,2024-07-22
2024-07-31,-808.0,2024-08-20,-808.0,17775.89656431743,-18583.89656431743,17.01483289176966,1,看多事件：实时递归季调社融环比超过5%,2024-08-21
2024-08-31,10411.0,2024-09-20,10411.0,16001.368895318195,-5590.368895318195,-9.982774497919532,0,未触发,2024-09-23
2024-09-30,19742.0,2024-10-20,19742.0,9332.174964086613,10409.825035913387,-41.67889619233082,0,未触发,2024-10-21
2024-10-31,2965.0,2024-11-20,2965.0,16565.5891499298,-13600.589149929801,77.51048618012231,1,看多事件：实时递归季调社融环比超过5%,2024-11-21
2024-11-30,5216.0,2024-12-20,5216.0,15065.092905796086,-9849.092905796086,-9.057910531000191,0,未触发,2024-12-23
2024-12-31,8402.0,2025-01-20,8402.0,15180.999049241149,-6778.99904924115,0.769368925700209,0,未触发,2025-01-21
2025-01-31,52194.0,2025-02-20,52194.0,16356.303028879294,35837.696971120706,7.741940934360936,1,看多事件：实时递归季调社融环比超过5%,2025-02-21
2025-02-28,6528.0,2025-03-20,6528.0,14660.70270854083,-8132.702708540831,-10.366647752518709,0,未触发,2025-03-21
2025-03-31,38234.0,2025-04-20,38234.0,15278.1377502014,22955.8622497986,4.211496910723622,0,未触发,2025-04-21
2025-04-30,884.0,2025-05-20,884.0,16116.929946303135,-15232.929946303135,5.490146834752019,1,看多事件：实时递归季调社融环比超过5%,2025-05-21
2025-05-31,5923.0,2025-06-20,5923.0,15673.1627292961,-9750.1627292961,-2.7534227578424497,0,未触发,2025-06-23
2025-06-30,23600.0,2025-07-20,23600.0,15128.766115758097,8471.233884241903,-3.473431769584212,0,未触发,2025-07-21
2025-07-31,-4296.0,2025-08-20,-4296.0,14572.539565659528,-18868.53956565953,-3.676615434745889,0,未触发,2025-08-21
2025-08-31,6253.0,2025-09-20,6253.0,12734.552692903984,-6481.552692903983,-12.612673751710346,0,未触发,2025-09-22
2025-09-30,16081.0,2025-10-20,16081.0,11790.43517306,4290.564826940002,-7.413825539157504,0,未触发,2025-10-21
2025-10-31,-154.0,2025-11-20,-154.0,12285.239348336328,-12439.239348336328,4.1966574432037,0,未触发,2025-11-21
2025-11-30,4096.0,2025-12-20,4096.0,12947.31862965097,-8851.31862965097,5.389225741086601,1,看多事件：实时递归季调社融环比超过5%,2025-12-22
2025-12-31,9804.0,2026-01-20,9804.0,13645.44747768365,-3841.4474776836496,5.392072814473559,1,看多事件：实时递归季调社融环比超过5%,2026-01-21
2026-01-31,49016.0,2026-02-20,49016.0,11870.963339476228,37145.03666052377,-13.004220939690626,0,未触发,2026-02-24
2026-02-28,8458.0,2026-03-20,8458.0,13283.923941394776,-4825.923941394777,11.902661658635804,1,看多事件：实时递归季调社融环比超过5%,2026-03-23
2026-03-31,31522.0,2026-04-20,31522.0,11539.395385928343,19982.604614071657,-13.132629810008256,0,未触发,2026-04-21
2026-04-30,-4006.0,2026-05-20,-4006.0,10001.424322609993,-14007.424322609993,-13.328003867462767,0,未触发,2026-05-21
2026-05-31,4965.0,2026-06-20,4965.0,12111.922944081914,-7146.922944081914,21.101980611909088,1,看多事件：实时递归季调社融环比超过5%,2026-06-22
2026-06-30,17650.0,2026-07-20,17650.0,11024.42186129171,6625.578138708291,-8.978764873348,0,未触发,2026-07-21
