date,qvix
2019-07-02,24.78
2019-07-03,23.8
2019-07-04,23.38
2019-07-05,24.07
2019-07-08,23.31
2019-07-09,22.29
2019-07-10,22.36
2019-07-11,22.7
2019-07-12,22.58
2019-07-15,22.68
2019-07-16,23.01
2019-07-17,22.57
2019-07-18,22.41
2019-07-19,23.33
2019-07-22,22.05
2019-07-23,20.76
2019-07-24,19.78
2019-07-25,18.16
2019-07-26,18.49
2019-07-29,19.58
2019-07-30,19.63
2019-07-31,19.98
2019-08-01,17.99
2019-08-02,18.68
2019-08-05,20.59
2019-08-06,22.21
2019-08-07,21.28
2019-08-08,20.77
2019-08-09,20.147
2019-08-12,20.46
2019-08-13,20.38
2019-08-14,19.798
2019-08-15,20.45
2019-08-16,20.34
2019-08-19,21.04
2019-08-20,20.83
2019-08-21,19.99
2019-08-22,19.8
2019-08-23,20.07
2019-08-26,21.23
2019-08-27,20.18
2019-08-28,19.97
2019-08-29,19.13
2019-08-30,19.26
2019-09-02,18.48
2019-09-03,18.44
2019-09-04,17.99
2019-09-05,18.77
2019-09-06,19.28
2019-09-09,20.4
2019-09-10,20.22
2019-09-11,19.79
2019-09-12,19.59
2019-09-16,18.72
2019-09-17,18.34
2019-09-18,17.9
2019-09-19,17.65
2019-09-20,17.01
2019-09-23,17.05
2019-09-24,16.63
2019-09-25,16.88
2019-09-26,17.14
2019-09-27,17.53
2019-09-30,17.76
2019-10-08,16.32
2019-10-09,16.0
2019-10-10,16.19
2019-10-11,16.24
2019-10-14,15.69
2019-10-15,15.22
2019-10-16,14.48
2019-10-17,15.4
2019-10-18,15.38
2019-10-21,14.5
2019-10-22,14.34
2019-10-23,14.52
2019-10-24,13.85
2019-10-25,13.61
2019-10-28,13.97
2019-10-29,14.13
2019-10-30,14.39
2019-10-31,14.67
2019-11-01,14.45
2019-11-04,14.8
2019-11-05,15.11
2019-11-06,14.9
2019-11-07,15.04
2019-11-08,15.19
2019-11-11,15.44
2019-11-12,14.88
2019-11-13,15.13
2019-11-14,15.39
2019-11-15,15.41
2019-11-18,14.62
2019-11-19,14.17
2019-11-20,13.75
2019-11-21,13.96
2019-11-22,14.45
2019-11-25,14.42
2019-11-26,14.44
2019-11-27,14.27
2019-11-28,13.84
2019-11-29,14.04
2019-12-02,13.74
2019-12-03,13.66
2019-12-04,13.58
2019-12-05,12.91
2019-12-06,12.46
2019-12-09,12.6
2019-12-10,12.58
2019-12-11,12.37
2019-12-12,12.52
2019-12-13,14.02
2019-12-16,13.48
2019-12-17,14.17
2019-12-18,14.46
2019-12-19,15.11
2019-12-20,14.8
2019-12-23,14.3
2019-12-24,13.47
2019-12-25,13.53
2019-12-26,13.28
2019-12-27,13.69
2019-12-30,14.76
2019-12-31,15.25
2020-01-02,15.52
2020-01-03,15.29
2020-01-06,16.02
2020-01-07,16.35
2020-01-08,16.21
2020-01-09,15.78
2020-01-10,15.44
2020-01-13,15.25
2020-01-14,14.88
2020-01-15,14.8
2020-01-16,14.14
2020-01-17,13.72
2020-01-20,14.4
2020-01-21,15.88
2020-01-22,15.19
2020-01-23,17.37
2020-02-03,32.46
2020-02-04,23.4
2020-02-05,21.04
2020-02-06,21.01
2020-02-07,22.26
2020-02-10,21.87
2020-02-11,20.03
2020-02-12,19.3
2020-02-13,19.69
2020-02-14,18.78
2020-02-17,18.96
2020-02-18,19.04
2020-02-19,19.35
2020-02-20,19.57
2020-02-21,20.77
2020-02-24,22.45
2020-02-25,23.13
2020-02-26,23.85
2020-02-27,20.54
2020-02-28,24.14
2020-03-02,21.44
2020-03-03,20.89
2020-03-04,21.08
2020-03-05,21.45
2020-03-06,22.73
2020-03-09,28.65
2020-03-10,27.82
2020-03-11,27.69
2020-03-12,30.5
2020-03-13,37.42
2020-03-16,40.57
2020-03-17,40.15
2020-03-18,35.29
2020-03-19,37.0
2020-03-20,32.84
2020-03-23,38.28
2020-03-24,35.29
2020-03-25,34.64
2020-03-26,33.67
2020-03-27,34.39
2020-03-30,33.92
2020-03-31,31.44
2020-04-01,29.59
2020-04-02,27.95
2020-04-03,28.98
2020-04-07,26.7
2020-04-08,24.88
2020-04-09,23.61
2020-04-10,22.71
2020-04-13,21.08
2020-04-14,20.27
2020-04-15,20.95
2020-04-16,20.62
2020-04-17,20.7
2020-04-20,20.93
2020-04-21,20.86
2020-04-22,20.57
2020-04-23,19.21
2020-04-24,18.94
