date,northbound_net_buy_100m
2018-01-22,21.710500000000003
2018-01-23,26.6609
2018-01-24,1.2256
2018-01-25,22.239
2018-01-26,30.0346
2018-01-29,-8.2497
2018-01-30,4.067
2018-01-31,-0.55229999999999
2018-02-01,2.7123000000000004
2018-02-02,-1.5151
2018-02-05,-34.6302
2018-02-06,-97.9285
2018-02-07,17.165399999999998
2018-02-08,28.7541
2018-02-09,-26.0874
2018-02-12,-12.5826
2018-02-13,-8.7866
2018-02-14,11.5492
2018-02-22,23.7096
2018-02-23,17.7912
2018-02-26,32.0958
2018-02-27,26.0026
2018-02-28,-4.5458
2018-03-01,12.1766
2018-03-02,-10.5934
2018-03-05,-13.7652
2018-03-06,9.7959
2018-03-07,-25.668000000000003
2018-03-08,28.2628
2018-03-09,14.0238
2018-03-12,23.6795
2018-03-13,13.6071
2018-03-14,5.9018
2018-03-15,13.775
2018-03-16,-21.8511
2018-03-19,8.8464
2018-03-20,-8.7201
2018-03-21,5.3763
2018-03-22,3.7191
2018-03-23,-17.4569
2018-03-26,38.3993
2018-03-27,10.5906
2018-03-28,7.02599999999999
2018-04-03,29.0643
2018-04-04,14.1143
2018-04-09,32.744699999999995
2018-04-10,33.4512
2018-04-11,9.4043
2018-04-12,28.3148
2018-04-13,23.0219
2018-04-16,26.0775
2018-04-17,6.87619999999999
2018-04-18,72.2168
2018-04-19,52.66439999999999
2018-04-20,-11.6035
2018-04-23,23.3335
2018-04-24,39.0022
2018-04-25,13.791
2018-04-26,-30.9994
2018-04-27,25.0302
2018-05-02,45.6991
2018-05-03,4.07679999999999
2018-05-04,-13.3396
2018-05-07,27.0898
2018-05-08,19.4055
2018-05-09,21.8643
2018-05-10,30.0867
2018-05-11,25.4995
2018-05-14,56.858
2018-05-15,36.3212
2018-05-16,11.0733
2018-05-17,22.7985
2018-05-18,34.3788
2018-05-23,22.3112
2018-05-24,20.4888
2018-05-25,20.3426
2018-05-28,38.7221
2018-05-29,14.6587
2018-05-30,12.7001
2018-05-31,57.477700000000006
2018-06-01,21.9287
2018-06-04,60.3214
2018-06-05,37.3664
2018-06-06,26.6042
