date,index_close,pe_ttm_index,pe_ttm_median,pb_index,pb_median
2011-01-14,,16.54,16.54,2.49,3.75
2011-01-17,,15.95,15.95,2.41,3.6
2011-01-18,,15.94,15.94,2.41,3.61
2011-01-19,,16.22,16.22,2.46,3.7
2011-01-20,,15.73,15.73,2.38,3.55
2011-01-21,,15.93,15.93,2.41,3.62
2011-01-24,,15.79,15.79,2.39,3.54
2011-01-25,,15.71,15.71,2.38,3.48
2011-01-26,,15.88,15.88,2.41,3.53
2011-01-27,,16.12,16.12,2.44,3.59
2011-01-28,,16.13,16.13,2.44,3.61
2011-01-31,,16.35,16.35,2.47,3.66
2011-02-01,,16.38,16.38,2.48,3.67
2011-02-09,,16.17,16.17,2.45,3.66
2011-02-10,,16.45,16.45,2.49,3.73
2011-02-11,,16.52,16.52,2.5,3.77
2011-02-14,,16.95,16.95,2.57,3.87
2011-02-15,,16.94,16.94,2.56,3.86
2011-02-16,,17.08,17.08,2.59,3.95
2011-02-17,,17.08,17.08,2.59,3.93
2011-02-18,,16.95,16.95,2.56,3.87
2011-02-21,,17.14,17.14,2.59,3.94
2011-02-22,,16.71,16.71,2.52,3.86
2011-02-23,,16.74,16.74,2.53,3.88
2011-02-24,,16.82,16.82,2.54,3.91
2011-02-25,,16.83,16.83,2.54,3.95
2011-02-28,,16.98,16.98,2.56,3.96
2011-03-01,,17.15,17.15,2.58,3.98
2011-03-02,,17.11,17.11,2.57,3.94
2011-03-03,,17.06,17.06,2.56,3.89
2011-03-04,,17.29,17.29,2.59,3.96
2011-03-07,,17.6,17.6,2.64,4.03
2011-03-08,,17.59,17.59,2.64,4.08
2011-03-09,,17.6,17.6,2.64,4.09
2011-03-10,,17.35,17.35,2.61,4.06
2011-03-11,,17.21,17.21,2.58,4.04
2011-03-14,,17.23,17.23,2.59,4.06
2011-03-15,,16.98,16.98,2.55,3.99
2011-03-16,,17.16,17.16,2.58,4.04
2011-03-17,,16.97,16.97,2.55,3.97
2011-03-18,,16.82,16.82,2.55,3.98
2011-03-21,,16.81,16.81,2.55,3.97
2011-03-22,,16.88,16.88,2.56,3.95
2011-03-23,,17.11,17.11,2.58,4.02
2011-03-24,,17.08,17.08,2.58,4.01
2011-03-25,,17.18,17.18,2.6,4.04
2011-03-28,,17.11,17.11,2.59,4.05
2011-03-29,,16.93,16.93,2.57,3.95
2011-03-30,,16.79,16.79,2.56,3.94
2011-03-31,,16.48,16.48,2.53,3.9
2011-04-01,,16.48,16.48,2.53,3.9
2011-04-06,,16.81,16.81,2.58,3.94
2011-04-07,,16.88,16.88,2.59,3.97
2011-04-08,,16.98,16.98,2.61,4.0
2011-04-11,,16.95,16.95,2.6,3.94
2011-04-12,,16.93,16.93,2.6,3.97
2011-04-13,,17.11,17.11,2.62,3.98
2011-04-14,,17.06,17.06,2.61,3.96
2011-04-15,,17.11,17.11,2.62,3.99
2011-04-18,,17.13,17.13,2.62,3.98
2011-04-19,,16.78,16.78,2.57,3.93
2011-04-20,,16.78,16.78,2.57,3.95
2011-04-21,,16.86,16.86,2.59,3.95
2011-04-22,,16.73,16.73,2.57,3.93
2011-04-25,,16.46,16.46,2.53,3.83
2011-04-26,,16.36,16.36,2.5,3.76
