序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
101,000979,景顺长城沪港深精选股票A,2026-07-22,4.962,4.962,-3.12,-10.04,-22.99,0.73,23.25,88.03,124.12,158.84,28.82,396.2,87.0335,0.15%
102,020554,南方半导体产业股票发起C,2026-07-22,2.7476,2.7476,-2.26,-21.64,-20.66,3.08,13.94,87.7,167.46,,32.04,174.76,84.0198,0.00%
103,009863,富国创新趋势股票A,2026-07-22,1.0432,1.0432,-3.75,-6.2,-15.74,4.28,18.46,87.36,111.86,78.29,25.38,4.32,88.6438,0.15%
104,001496,工银聚焦30股票,2026-07-22,2.393,2.393,-2.68,-9.39,-16.77,8.28,20.37,87.25,119.14,81.56,25.95,139.3,87.2457,0.15%
105,014185,招商专精特新股票A,2026-07-22,1.7609,1.7609,-1.77,-8.0,-15.61,21.37,29.0,86.95,140.99,95.59,47.63,76.09,86.1613,0.15%
106,021313,景顺长城沪港深精选股票C,2026-07-22,4.889,4.889,-3.13,-10.05,-23.02,0.58,22.84,86.82,121.32,,28.35,118.45,85.8935,0.00%
107,001039,嘉实先进制造股票,2026-07-22,3.065,3.065,-0.78,-3.8,-8.12,17.88,30.54,85.65,137.6,82.01,45.12,206.5,85.983,0.15%
108,014186,招商专精特新股票C,2026-07-22,1.6969,1.6969,-1.78,-8.02,-15.67,21.13,28.48,85.45,137.13,90.94,46.98,69.69,84.6865,0.00%
109,001482,摩根新兴服务股票A,2026-07-22,2.7457,2.7457,-2.51,-6.87,-16.04,11.9,36.22,85.26,103.22,71.12,41.99,174.57,84.9704,0.15%
110,001072,华安智能装备主题股票A,2026-07-22,4.459,4.512,-2.36,-10.43,-21.76,-0.31,10.87,84.41,129.02,125.32,26.6,368.6,84.4849,0.15%
111,017177,摩根新兴服务股票C,2026-07-22,2.6869,2.6869,-2.51,-6.88,-16.08,11.74,35.83,84.16,100.81,68.07,41.53,72.04,83.8705,0.00%
112,004450,嘉实前沿科技沪港深股票A,2026-07-22,3.6182,3.6182,-2.26,-6.8,-15.08,29.27,35.38,83.68,182.87,125.53,57.0,261.78,81.4362,0.15%
113,013622,华安智能装备主题股票C,2026-07-22,4.331,4.331,-2.34,-10.42,-21.79,-0.44,10.54,83.36,126.4,121.31,26.19,77.79,83.4392,0.00%
114,000524,摩根民生需求股票A,2026-07-22,3.5171,3.9561,-2.38,-6.87,-16.05,12.06,33.59,82.6,91.9,65.64,38.54,339.79,82.4695,0.15%
115,020315,嘉实前沿科技沪港深股票C,2026-07-22,3.55,3.55,-2.26,-6.81,-15.12,29.08,34.98,82.59,178.54,,56.48,127.14,80.3587,0.00%
116,005962,宝盈人工智能股票A,2026-07-22,5.3732,5.3732,-3.64,-8.85,-20.51,6.09,16.57,81.9,161.19,134.59,24.28,437.32,80.5389,0.15%
117,017099,摩根民生需求股票C,2026-07-22,3.4393,3.4393,-2.38,-6.87,-16.09,11.9,33.2,81.52,89.62,62.7,38.09,49.27,81.3881,0.00%
118,001009,摩根安全战略股票A,2026-07-22,2.1299,2.3765,-2.77,-10.07,-20.56,5.26,29.41,81.42,91.47,81.1,37.58,141.43,82.3857,0.15%
119,015172,摩根安全战略股票C,2026-07-22,2.0834,2.0834,-2.77,-10.09,-20.59,5.13,29.09,80.52,89.57,78.4,37.19,22.85,81.4808,0.00%
120,005963,宝盈人工智能股票C,2026-07-22,5.0424,5.0424,-3.65,-8.87,-20.56,5.88,16.1,80.44,157.03,128.99,23.72,404.24,79.1007,0.00%
121,002229,华夏经济转型股票,2026-07-22,3.325,3.489,-1.86,-5.73,-11.57,21.31,27.79,79.92,101.15,77.62,46.03,281.08,80.1192,0.15%
122,006868,华夏科技成长股票,2026-07-22,2.688,2.688,-1.84,-5.54,-10.74,22.29,27.76,78.68,107.89,85.01,45.06,168.8,77.8484,0.15%
123,007133,嘉实长青竞争优势股票A,2026-07-22,1.4825,1.4825,0.07,-2.15,-7.0,14.46,20.07,78.29,78.14,24.57,42.63,48.25,77.4811,0.15%
124,001678,英大国企改革A,2026-07-22,2.9333,3.5833,-0.84,-7.59,-16.25,14.68,22.11,77.57,95.74,66.05,38.24,347.58,77.8512,0.15%
125,007134,嘉实长青竞争优势股票C,2026-07-22,1.427,1.427,0.08,-2.15,-7.03,14.32,19.79,77.42,76.37,22.72,42.24,42.7,76.6308,0.00%
126,022868,英大国企改革C,2026-07-22,2.9238,2.9238,-0.84,-7.6,-16.27,14.61,21.97,77.16,,,38.06,89.6,77.4366,0.00%
127,001410,信澳新能源产业股票A,2026-07-22,6.785,6.847,-1.44,-10.31,-21.81,11.76,18.81,76.33,128.3,89.95,34.76,610.33,76.7848,0.15%
128,024170,信澳新能源产业股票C,2026-07-22,6.747,6.747,-1.45,-10.32,-21.85,11.61,18.47,75.34,,,34.32,83.69,75.7489,0.00%
129,020722,国寿安保数字经济股票发起式A,2026-07-22,2.5928,2.5928,-2.96,-10.17,-23.35,-6.99,53.76,75.11,151.53,,68.42,159.28,71.4021,0.12%
130,014341,摩根时代睿选股票A,2026-07-22,2.0086,2.0086,-2.73,-10.49,-21.07,4.43,26.93,74.63,100.6,100.86,35.49,100.86,75.4389,0.15%
131,005777,广发科技动力股票,2026-07-22,2.4918,2.4918,-2.97,-12.65,-19.96,2.35,28.09,74.45,153.1,101.31,45.92,149.18,75.5407,0.15%
132,021875,路博迈资源精选股票发起A,2026-07-22,1.8958,1.8958,4.37,3.28,-11.27,-16.56,-8.9,74.31,,,4.73,89.58,75.5208,0.15%
133,020723,国寿安保数字经济股票发起式C,2026-07-22,2.564,2.564,-2.96,-10.18,-23.38,-7.11,53.39,74.27,149.03,,67.97,156.4,70.5695,0.00%
134,014342,摩根时代睿选股票C,2026-07-22,1.9773,1.9773,-2.73,-10.5,-21.11,4.3,26.6,73.75,98.56,97.83,35.11,97.73,74.5652,0.00%
135,004616,中欧电子信息产业沪港深股票A,2026-07-22,4.5159,4.5849,-2.98,-7.15,-10.52,21.08,22.54,73.33,142.84,79.26,41.15,365.59,71.1735,0.15%
136,021876,路博迈资源精选股票发起C,2026-07-22,1.8704,1.8704,4.37,3.27,-11.32,-16.7,-9.17,73.17,,,4.32,87.04,74.3638,0.00%
137,000513,富国高端制造行业股票A,2026-07-22,5.377,5.377,-3.38,-7.79,-13.58,0.34,16.74,72.73,98.12,70.32,25.6,437.7,73.4516,0.15%
138,022754,易方达科鑫量化选股股票发起式A,2026-07-22,1.996,1.996,-0.77,-5.68,-14.86,-2.08,15.44,72.54,,,29.27,99.6,73.6709,0.15%
139,164205,天弘文化新兴产业股票A,2026-07-22,4.4977,5.2298,-2.05,-6.51,-15.51,18.94,35.18,72.17,133.05,123.29,56.56,422.98,71.4193,0.15%
140,022755,易方达科鑫量化选股股票发起式C,2026-07-22,1.9835,1.9835,-0.78,-5.69,-14.89,-2.17,15.21,71.9,,,28.98,98.35,73.0048,0.00%
141,005763,中欧电子信息产业沪港深股票C,2026-07-22,4.505,4.575,-2.98,-7.17,-10.58,20.84,22.06,71.89,138.88,74.92,40.47,324.05,69.763,0.00%
142,014930,富国高端制造行业股票C,2026-07-22,5.24,5.24,-3.36,-7.78,-13.62,0.21,16.42,71.8,95.89,67.41,25.21,40.78,72.5387,0.00%
143,015475,天弘文化新兴产业股票C,2026-07-22,2.0449,2.0449,-2.05,-6.51,-15.54,18.81,34.91,71.48,131.22,120.66,56.21,104.49,70.7213,0.00%
144,009601,招商科技动力3个月滚动持有股票A,2026-07-22,2.2851,2.2851,-0.95,-3.48,-2.67,22.24,13.58,70.7,135.55,182.46,30.84,128.51,69.5178,0.15%
145,009602,招商科技动力3个月滚动持有股票C,2026-07-22,2.1809,2.1809,-0.95,-3.5,-2.73,22.0,13.13,69.34,131.86,175.78,30.26,118.09,68.1755,0.00%
146,001672,国寿安保智慧生活股票A,2026-07-22,2.567,3.374,-3.13,-17.72,-32.29,4.05,17.97,69.1,144.71,105.06,35.53,356.5,70.2255,0.15%
147,023101,国寿安保智慧生活股票C,2026-07-22,1.87,1.87,-3.11,-17.73,-32.3,3.95,17.76,68.47,,,35.21,87.0,69.6915,0.00%
148,005826,华夏潜龙精选股票,2026-07-22,2.9889,2.9889,-1.47,-5.36,-17.34,6.05,11.65,67.92,111.9,93.52,20.87,198.89,68.4552,0.15%
149,023117,华安高端装备股票发起式A,2026-07-22,1.8767,1.8767,-2.04,-8.55,-19.56,5.06,22.21,67.89,,,29.13,87.67,67.5027,0.15%
150,023118,华安高端装备股票发起式C,2026-07-22,1.8664,1.8664,-2.04,-8.56,-19.59,4.92,21.9,67.09,,,28.69,86.64,66.7024,0.00%
151,008286,易方达研究精选股票,2026-07-22,1.3688,1.3688,-0.54,-3.88,-11.07,16.42,35.57,66.14,75.78,37.0,38.37,36.88,65.6341,0.15%
152,005495,创金合信科技成长股票A,2026-07-22,2.7471,2.7471,-3.11,-11.68,-21.64,17.79,21.19,65.38,86.35,45.44,37.9,174.71,64.4379,0.15%
153,001188,鹏华改革红利股票,2026-07-22,2.248,2.248,-0.62,-7.72,-11.91,19.89,23.65,64.81,112.08,93.79,41.03,124.8,64.0876,0.15%
154,005496,创金合信科技成长股票C,2026-07-22,2.6251,2.6251,-3.11,-11.68,-21.67,17.64,20.89,64.55,84.5,43.28,37.52,162.51,63.6188,0.00%
155,008314,摩根慧选成长股票A,2026-07-22,2.1402,2.1402,-2.48,-4.77,-14.03,0.95,12.08,64.55,95.88,85.38,16.75,114.02,64.1132,0.15%
156,000592,建信改革红利股票A,2026-07-22,6.278,6.278,-3.07,-8.84,-18.5,1.55,4.53,64.39,75.61,45.26,14.98,527.8,64.9068,0.15%
157,011506,建信高端装备股票A,2026-07-22,1.9393,1.9393,-3.26,-5.69,-8.86,11.11,17.98,64.08,94.3,74.02,25.03,93.93,65.4411,0.15%
158,016269,建信改革红利股票C,2026-07-22,6.18,6.18,-3.07,-8.85,-18.52,1.44,4.32,63.71,74.18,43.52,14.72,7.27,64.2307,0.00%
